iter	Passed	Remaining
420	4606	1958
421	4615	1946
422	4628	1936
423	4641	1926
424	4654	1916
425	4672	1908
426	4683	1897
427	4701	1889
428	4712	1878
429	4726	1868
430	4739	1858
431	4751	1847
432	4763	1837
433	4776	1826
434	4787	1815
435	4803	1806
436	4812	1795
437	4824	1784
438	4835	1773
439	4844	1761
440	4852	1749
441	4865	1739
442	4874	1727
443	4885	1716
444	4898	1706
445	4908	1694
446	4916	1682
447	4926	1671
448	4936	1660
449	4944	1648
450	4955	1637
451	4964	1625
452	4972	1613
453	4983	1602
454	4992	1590
455	5001	1579
456	5011	1568
457	5019	1556
458	5026	1543
459	5033	1531
460	5041	1520
461	5050	1508
462	5057	1496
463	5066	1484
464	5074	1473
465	5083	1461
466	5094	1450
467	5103	1439
468	5112	1428
469	5121	1416
470	5132	1405
471	5146	1395
472	5173	1389
473	5185	1378
474	5194	1366
475	5205	1356
476	5223	1347
477	5234	1335
478	5248	1325
479	5258	1314
480	5268	1303
481	5276	1291
482	5286	1280
483	5295	1269
484	5305	1258
485	5315	1246
486	5326	1235
487	5335	1224
488	5346	1213
489	5356	1202
490	5366	1191
491	5375	1179
492	5383	1168
493	5391	1156
494	5400	1145
495	5408	1133
496	5417	1122
497	5426	1111
498	5434	1100
499	5445	1089
500	5454	1077
501	5465	1066
502	5477	1056
503	5486	1045
504	5496	1034
505	5507	1023
506	5520	1012
507	5530	1001
508	5538	990
509	5548	979
510	5557	967
511	5565	956
512	5574	945
513	5584	934
514	5594	923
515	5605	912
516	5614	901
517	5622	890
518	5632	879
519	5643	868
520	5653	857
521	5663	846
522	5672	835
523	5681	824
524	5691	813
525	5703	802
526	5713	791
527	5724	780
528	5737	770
529	5747	759
530	5755	747
531	5765	736
532	5778	726
533	5790	715
534	5800	704
535	5809	693
536	5818	682
537	5827	671
538	5836	660
539	5846	649
540	5856	638
541	5865	627
542	5877	616
543	5889	606
544	5898	595
545	5907	584
546	5915	573
547	5923	562
548	5934	551
549	5942	540
550	5950	529
551	5959	518
552	5970	507
553	5979	496
554	5987	485
555	5997	474
556	6007	463
557	6015	452
558	6024	441
559	6032	430
560	6042	420
561	6051	409
562	6062	398
563	6071	387
564	6080	376
565	6090	365
566	6099	355
567	6109	344
568	6123	333
569	6136	322
570	6147	312
571	6161	301
572	6170	290
573	6179	279
574	6229	270
575	6244	260
576	6256	249
577	6267	238
578	6278	227
579	6289	216
580	6303	206
581	6322	195
582	6336	184
583	6349	173
584	6365	163
585	6376	152
586	6386	141
587	6398	130
588	6408	119
589	6421	108
590	6431	97
591	6440	87
592	6450	76
593	6460	65
594	6472	54
595	6485	43
596	6495	32
597	6506	21
598	6517	10
599	6528	0
